,date,meant
858,19040710,27.1
859,19040810,27.3
860,19040910,25.2
861,19041010,25.2
862,19041110,19.4
863,19041210,17.4
864,19040111,8.1
865,19040211,16.7
866,19040311,22.2
867,19040411,24.8
868,19040511,23.5
869,19040611,28.7
870,19040711,26.7
871,19040811,28.1
872,19040911,24.8
873,19041011,25.4
874,19041111,18.5
875,19041211,17.8
876,19040112,10.1
877,19040212,15.2
878,19040312,19.8
879,19040412,20.8
880,19040512,25.4
881,19040612,28.2
882,19040712,27.4
883,19040812,28.4
884,19040912,24.7
885,19041012,26.7
886,19041112,18.1
887,19041212,18
888,19040113,11.7
889,19040213,12.1
890,19040313,20.8
891,19040413,21.9
892,19040513,25
893,19040613,28.5
894,19040713,27.4
895,19040813,28.2
896,19040913,25.6
897,19041013,25.3
898,19041113,18.9
899,19041213,19
900,19040114,10.4
901,19040214,12.1
902,19040314,22.8
903,19040414,23.7
904,19040514,25
905,19040614,28.6
906,19040714,27.1
907,19040814,26.9
908,19040914,27.2
909,19041014,24.6
910,19041114,20
911,19041214,19.3
912,19040115,11.7
913,19040215,15
914,19040315,20.2
915,19040415,24.1
916,19040515,23.9
917,19040615,28
918,19040715,28.5
919,19040815,27.1
920,19040915,27.3
921,19041015,25
922,19041115,20.7
923,19041215,20.9
924,19040116,11.5
925,19040216,16.2
926,19040316,14.5
927,19040416,24.4
928,19040516,23.5
929,19040616,28.7
930,19040716,28.1
931,19040816,27.2
932,19040916,27.4
933,19041016,25.6
934,19041116,21.5
935,19041216,16.7
936,19040117,12
937,19040217,15.8
938,19040317,13.5
939,19040417,21.7
940,19040517,25.9
941,19040617,27.9
942,19040717,26.9
943,19040817,25.6
944,19040917,27.8
945,19041017,25.8
946,19041117,22.1
947,19041217,13.5
948,19040118,14.2
949,19040218,14.9
950,19040318,14.1
951,19040418,21.2
952,19040518,25.7
953,19040618,26.9
954,19040718,25.1
955,19040818,25.6
956,19040918,27.7
957,19041018,26
958,19041118,23.3
959,19041218,15.2
960,19040119,14.8
961,19040219,14.8
962,19040319,14.1
963,19040419,21.5
964,19040519,26.5
965,19040619,26.7
966,19040719,26.4
967,19040819,27.2
968,19040919,27.9
969,19041019,24.2
970,19041119,21.2
971,19041219,16
972,19040120,13.8
973,19040220,15
974,19040320,13
975,19040420,24.9
976,19040520,27
977,19040620,25.9
978,19040720,27.5
979,19040820,27.4
980,19040920,27.5
981,19041020,25.4
982,19041120,18.9
983,19041220,12.3
984,19040121,16.5
985,19040221,15
986,19040321,14.2
987,19040421,24.9
988,19040521,27
989,19040621,27.7
990,19040721,27.5
991,19040821,27.1
992,19040921,26.7
993,19041021,24.6
994,19041121,16
995,19041221,11
996,19040122,17.2
997,19040222,14.8
998,19040322,17
999,19040422,25.5
1000,19040522,25.1
1001,19040622,28.3
1002,19040722,27.7
1003,19040822,27.9
1004,19040922,26.5
1005,19041022,24.9
1006,19041122,16.5
1007,19041222,12.4
1008,19040123,18.1
1009,19040223,14.7
1010,19040323,19.7
1011,19040423,23.1
1012,19040523,21.7
1013,19040623,28.5
1014,19040723,27.6
1015,19040823,28.4
1016,19040923,27.1
1017,19041023,24.6
1018,19041123,18.7
1019,19041223,13.5
1020,19040124,18.9
1021,19040224,16.2
1022,19040324,21
1023,19040424,22.6
1024,19040524,22
1025,19040624,28.4
1026,19040724,28.3
1027,19040824,28.3
1028,19040924,27.1
1029,19041024,24.6
1030,19041124,19.2
1031,19041224,15.4
1032,19040125,18.2
1033,19040225,18.3
1034,19040325,20.3
1035,19040425,24.3
1036,19040525,23.9
1037,19040625,27.1
1038,19040725,28.7
1039,19040825,27.5
1040,19040925,26.5
1041,19041025,25.2
1042,19041125,18.2
1043,19041225,14.8
1044,19040126,19.1
1045,19040226,18.9
1046,19040326,20.8
1047,19040426,23.3
1048,19040526,23.8
1049,19040626,26
1050,19040726,28.8
1051,19040826,26.8
1052,19040926,26.4
1053,19041026,27
1054,19041126,16.4
1055,19041226,16.8
1056,19040127,18.1
1057,19040227,18.8
1058,19040327,21.2
1059,19040427,24.5
1060,19040527,24.4
1061,19040627,25.5
1062,19040727,27.7
1063,19040827,26.8
1064,19040927,27
1065,19041027,21.5
1066,19041127,10.8
1067,19041227,17.8
1068,19040128,9.7
1069,19040228,15.5
1070,19040328,21.2
1071,19040428,22.7
1072,19040528,25.3
1073,19040628,27.1
1074,19040728,27.9
1075,19040828,25.9
1076,19040928,27.2
